Call_log_ID,Date received,Complaint ID,Client_id,phone,vru+line,call_id,priority,type,outcome,server,ser_start,ser_exit,ser_time
2069,05/12/2011,CR0002929,C00007863,814-452-0875,AA0109,30920,0,PS,AGENT,YIFAT,09:27:41,09:46:41,00:19:00
2068,06/12/2011,CR0003269,C00000409,338-688-3943,AA0202,30919,1,PS,AGENT,IDIT,12:08:06,12:09:37,00:01:31
2067,12/12/2011,CR0004889,C00004768,212-035-2517,AA0205,30918,0,PS,AGENT,AVIDAN,12:46:13,12:48:14,00:02:01
2066,14/12/2011,CR0015394,C00002267,535-549-2691,AA0115,30917,0,PS,AGENT,TOVA,15:51:18,15:54:43,00:03:25
2065,16/12/2011,CR0006173,C00003841,118-216-2178,AA0102,30916,0,PE,AGENT,GILI,16:51:37,17:11:49,00:20:12
2064,19/12/2011,CR0006795,C00008366,192-039-8843,AA0215,30915,0,PS,AGENT,KAZAV,12:43:32,13:02:33,00:19:01
2920,21/12/2011,CR0007379,C00004219,413-789-9118,AA0112,40515,0,PS,AGENT,GILI,10:43:52,11:07:51,00:23:59
2063,27/12/2011,CR0013314,C00000246,614-478-5366,AA0102,30913,0,NW,AGENT,IDIT,11:40:37,11:49:53,00:09:16
2062,03/01/2012,CR0009358,C00001891,953-476-9580,AA0213,30912,1,PS,AGENT,STEREN,14:01:23,14:14:46,00:13:23
2061,06/01/2012,CR0010889,C00003624,212-703-8758,AA0203,30911,0,PS,AGENT,AVNI,14:53:12,15:01:18,00:08:06
2059,17/01/2012,CR0014335,C00001221,439-113-7916,AA0105,30909,0,NW,AGENT,MICHAL,16:21:47,16:28:58,00:07:11
2060,17/01/2012,CR0014338,C00005283,314-546-4851,AA0106,30910,0,PS,AGENT,BENSION,11:50:44,12:10:40,00:19:56
2058,19/01/2012,CR0014991,C00003525,757-525-7170,AA0213,30908,0,PS,AGENT,MIKI,09:14:49,09:27:09,00:12:20
2057,27/01/2012,CR0018110,C00003619,650-057-6559,AA0115,30907,1,PS,AGENT,ANAT,10:23:15,10:26:46,00:03:31
2056,30/01/2012,CR0018574,C00004406,212-719-9127,AA0113,30906,0,NW,AGENT,MICHAL,16:32:16,16:43:16,00:11:00
2055,31/01/2012,CR0019006,C00003756,241-086-0620,AA0110,30905,0,PS,AGENT,ANAT,14:17:21,14:38:17,00:20:56
2054,01/02/2012,CR0019572,C00003695,978-618-4223,AA0215,30904,0,PS,AGENT,KAZAV,14:50:31,15:01:55,00:11:24
2053,03/02/2012,CR0020288,C00001448,938-030-7929,AA0109,30903,0,PS,AGENT,NO_SERVER,14:00:07,14:00:29,00:00:22
2052,06/02/2012,CR0020876,C00000994,478-016-1733,AA0215,30902,0,PS,AGENT,MORIAH,09:02:58,09:11:15,00:08:17
2051,08/02/2012,CR0021708,C00002304,508-045-4609,AA0206,30901,0,PS,AGENT,TOVA,11:12:23,11:25:57,00:13:34
2919,08/02/2012,CR0021753,C00002277,212-826-1832,AA0214,40514,2,NW,AGENT,AVNI,12:51:08,13:05:12,00:14:04
2050,09/02/2012,CR0022106,C00001596,508-537-2145,AA0210,30899,0,PS,AGENT,SHLOMO,09:23:38,09:24:02,00:00:24
2048,14/02/2012,CR0023552,C00003116,503-884-3925,AA0201,30897,2,PS,AGENT,BENSION,09:34:13,09:48:42,00:14:29
2049,14/02/2012,CR0023451,C00013071,895-880-4378,AA0109,30898,2,NE,AGENT,BENSION,10:11:15,10:12:07,00:00:52
2046,15/02/2012,CR0023878,C00001091,617-468-7856,AA0210,30895,2,PS,AGENT,MICHAL,11:54:44,12:09:28,00:14:44
2047,15/02/2012,CR0023750,C00001569,627-774-7199,AA0206,30896,0,PS,AGENT,DORIT,15:35:35,15:50:00,00:14:25
2918,16/02/2012,CR0024147,C00002658,239-554-4566,AA0101,40513,1,NW,AGENT,NO_SERVER,13:20:15,13:25:48,00:05:33
2045,21/02/2012,CR0025230,C00011906,914-614-5973,AA0103,30893,1,PS,AGENT,NAAMA,15:16:28,15:37:20,00:20:52
2917,23/02/2012,CR0021455,C00000715,952-160-9696,AA0102,40512,0,PS,AGENT,TOVA,09:08:32,09:25:17,00:16:45
2916,27/02/2012,CR0027086,C00001039,109-943-9230,AA0115,40511,0,NW,AGENT,STEREN,13:00:24,13:05:43,00:05:19
2044,29/02/2012,CR0028245,C00004342,290-638-5549,AA0201,30890,0,PS,AGENT,ZOHARI,14:05:28,14:21:19,00:15:51
2043,01/03/2012,CR0029150,C00000733,961-199-2888,AA0112,30889,0,TT,AGENT,SHARON,09:46:40,09:56:41,00:10:01
2042,06/03/2012,CR0031126,C00002219,985-689-5263,AA0108,30888,0,TT,AGENT,ZOHARI,12:31:28,12:34:31,00:03:03
2915,06/03/2012,CR0016459,C00004514,617-286-0356,AA0210,40510,0,PS,AGENT,KAZAV,11:03:53,11:25:10,00:21:17
2039,07/03/2012,CR0032026,C00003008,823-830-5490,AA0113,30884,0,PS,AGENT,DORIT,15:06:07,15:27:04,00:20:57
2040,07/03/2012,CR0031869,C00000165,451-876-8255,AA0213,30885,0,PS,AGENT,IDIT,16:06:38,16:16:42,00:10:04
2041,07/03/2012,CR0031594,C00003560,508-430-0793,AA0110,30886,0,NW,AGENT,AVNI,11:51:18,11:57:30,00:06:12
2914,07/03/2012,CR0031620,C00010076,460-699-6534,AA0210,40509,1,PS,AGENT,MORIAH,12:10:53,12:18:51,00:07:58
2037,08/03/2012,CR0032580,C00001972,212-662-6820,AA0110,30881,0,NW,AGENT,NO_SERVER,13:43:01,13:49:18,00:06:17
2038,08/03/2012,CR0032200,C00002061,247-337-0898,AA0109,30882,2,PS,AGENT,YIFAT,10:04:43,10:06:52,00:02:09
2035,09/03/2012,CR0033120,C00004615,617-652-2026,AA0213,30878,0,NW,AGENT,IDIT,12:02:44,12:16:26,00:13:42
2036,09/03/2012,CR0032766,C00000218,212-844-7393,AA0106,30880,0,PS,AGENT,ELI,09:16:33,09:30:43,00:14:10
2913,09/03/2012,CR0032682,C00000131,719-766-1799,AA0210,40508,2,TT,AGENT,SHARON,10:37:04,11:04:06,00:27:02
2032,12/03/2012,CR0033772,C00004498,801-398-0462,AA0105,30875,2,PS,AGENT,KAZAV,16:32:10,16:32:48,00:00:38
2033,12/03/2012,CR0034164,C00009995,870-214-6557,AA0206,30876,0,NW,AGENT,SHARON,12:29:15,12:30:05,00:00:50
2034,12/03/2012,CR0034182,C00007299,212-878-7544,AA0201,30877,2,PS,AGENT,ANAT,13:48:24,14:02:11,00:13:47
